Frame Number,Timecode,delta_hue,delta_lum,delta_hsv_avg,delta_sat
217,00:00:07.240,0.0262962962963,0.00163580246914,0.0098353909465,0.00157407407407
218,00:00:07.273,0.0371913580247,0.00070987654321,0.0130555555556,0.00126543209877
219,00:00:07.307,1.28799382716,0.0794444444444,0.480977366255,0.0754938271605
220,00:00:07.340,0.188302469136,1.1974382716,0.463179012346,0.0037962962963
221,00:00:07.374,29.4225308642,0.00740740740741,10.3978806584,1.7637037037
222,00:00:07.407,0.00657407407407,0.000185185185185,0.00236625514403,0.00033950617284
223,00:00:07.440,0.0121604938272,0.000493827160494,0.00444444444444,0.000679012345679
224,00:00:07.474,0.011450617284,0.00070987654321,0.00424897119342,0.000586419753086
225,00:00:07.507,0.236543209877,0.00864197530864,0.0858641975309,0.0124074074074
226,00:00:07.540,29.3557716049,0.00564814814815,10.3724691358,1.75598765432
227,00:00:07.574,0.80274691358,0.0131481481481,0.279886831276,0.0237654320988
228,00:00:07.607,0.504722222222,0.0156790123457,0.182458847737,0.026975308642
229,00:00:07.640,29.6333024691,0.026512345679,10.4899588477,1.8100617284
230,00:00:07.674,28.3128703704,1.13342592593,10.3772736626,1.68552469136
231,00:00:07.707,0.0713888888889,0.00274691358025,0.0251851851852,0.00141975308642
232,00:00:07.741,0.0325925925926,0.00166666666667,0.0118724279835,0.00135802469136
233,00:00:07.774,0.059012345679,0.00234567901235,0.0212757201646,0.00246913580247
234,00:00:07.807,0.0551543209877,0.0033950617284,0.0199279835391,0.00123456790123
235,00:00:07.841,0.0185185185185,0.00141975308642,0.00701646090535,0.00111111111111
236,00:00:07.874,1.28487654321,0.0741358024691,0.477952674897,0.0748456790123
237,00:00:07.907,0.139722222222,1.19941358025,0.448158436214,0.00533950617284
238,00:00:07.941,29.4287345679,0.00929012345679,10.4001131687,1.76231481481
239,00:00:07.974,0.0111419753086,0.000956790123457,0.00416666666667,0.000401234567901
240,00:00:08.008,0.0378703703704,0.00154320987654,0.013683127572,0.00163580246914
241,00:00:08.041,0.0608024691358,0.00148148148148,0.0212757201646,0.00154320987654
242,00:00:08.074,0.00246913580247,0.0,0.00082304526749,0.0
243,00:00:08.108,28.2034567901,1.1400617284,10.3463888889,1.69564814815
244,00:00:08.141,1.26524691358,0.0696604938272,0.469495884774,0.0735802469136
245,00:00:08.174,0.11712962963,1.19827160494,0.440288065844,0.00546296296296
246,00:00:08.208,29.500154321,0.013950617284,10.4263168724,1.76484567901
247,00:00:08.241,28.2804938272,1.13546296296,10.3708333333,1.69654320988
248,00:00:08.274,0.144691358025,0.00953703703704,0.0533024691358,0.00567901234568
249,00:00:08.308,0.0717592592593,0.00348765432099,0.0259567901235,0.00262345679012
250,00:00:08.341,0.0567283950617,0.00311728395062,0.0206481481481,0.0020987654321
251,00:00:08.375,0.124074074074,0.00746913580247,0.0454526748971,0.00481481481481
252,00:00:08.408,36.7898765432,1.92481481481,14.0505349794,3.43691358025
253,00:00:08.441,0.340740740741,0.0470987654321,0.139547325103,0.0308024691358
